Tool,Institution,Year,Task,Entity_Type_Standardized,Entity_Type_Original,NER_Training_Corpus,Normalization_Tool,ID_Output,URL,Notes
MedCAT,CogStack/KCL,2019+,NER+NEN,Adverse effect,Adverse drug reaction,Self-supervised on MIMIC-III,SNOMED-CT,SNOMED-CT SCTID,https://github.com/CogStack/cogstack-nlp,
MedCAT,CogStack/KCL,2019+,NER+NEN,Species/Organism,Species / Organism,Self-supervised on MIMIC-III,SNOMED-CT (Organism hierarchy),SNOMED-CT SCTID,https://github.com/CogStack/cogstack-nlp,
MedCAT,CogStack/KCL,2019+,NER+NEN,Custom,Custom (any ontology),User-defined corpus,User-defined CDB,Configurable (HPO/ICD-10/LOINC/miRBase),https://github.com/CogStack/cogstack-nlp,Plugin system for custom ontologies
CLAMP,UTHealth,2018+,NER+NEN,Disease,Disease / Disorder,"i2b2 2009/2010, SemEval 2014, UTNotes",UMLS encoder (vector space model),UMLS CUI + ICD-10,https://clamp.uth.edu/,Only tool with native LOINC output
CLAMP,UTHealth,2018+,NER+NEN,Sign/Symptom,Sign / Symptom,"i2b2 2009/2010, UTNotes, MTSamples",UMLS encoder,UMLS CUI,https://clamp.uth.edu/,
CLAMP,UTHealth,2018+,NER+NEN,Chemical/Drug,Drug / Medication,i2b2 2009 medication challenge,RxNorm via UMLS,UMLS CUI + RxNorm RxCUI,https://clamp.uth.edu/,
CLAMP,UTHealth,2018+,NER+NEN,Adverse effect,Adverse drug effect,i2b2 + MTSamples,UMLS encoder,UMLS CUI,https://clamp.uth.edu/,
CLAMP,UTHealth,2018+,NER+NEN,Lab test,Lab test + value,i2b2 2010 + UTNotes,LOINC (dedicated module),LOINC code,https://clamp.uth.edu/,Only tool with native LOINC output
CLAMP,UTHealth,2018+,NER+NEN,Procedure,Procedure,i2b2 2010 + MTSamples,UMLS encoder (CPT via UMLS),UMLS CUI + CPT,https://clamp.uth.edu/,
CLAMP,UTHealth,2018+,NER+NEN,Anatomy,Anatomy / Body site,i2b2 + MTSamples,UMLS encoder,UMLS CUI,https://clamp.uth.edu/,
CLAMP,UTHealth,2018+,NER+NEN,Gene/Protein,Gene / Protein (limited),Dictionary only,UMLS dictionary,UMLS CUI only,https://clamp.uth.edu/,Limited gene/protein coverage
MicrobiomeNER,Research Lab,2025,NER+NEN,Species/Organism,Bacteria/Archaea/Fungi,Microbiome-specific corpus (1410 articles),BioBERT fine-tuned,NCBI TaxID,https://www.biorxiv.org/content/10.1101/2025.08.29.671515v1,F1=96% across 14 microbiome domains
TaxoNERD,Research Lab,2025,NER+NEN,Species/Organism,Taxonomic entities,Taxonomic corpus,Deep learning model,NCBI TaxID,Research paper,Handles scientific names + synonyms + abbreviations
GLiNER-BioMed,Research Lab,2025,NER,Microbiome entities,13 categories including bacteria/microbiota,GutBrainIE corpus,Zero-shot natural language labels,Span only,arXiv paper,Gut-brain axis specialized
MINERVA,Research Lab,2025,NER+NEN,Species/Organism,Microbes,Platform-specific corpus,Fine-tuned LLM,Microbe-Disease Association IDs,Research platform,3400+ microbes × 35000+ diseases
DiMB-RE,Research Lab,2025,NER+NEN+RE,Diet-Microbiome entities,15 entity types + microbes,DiMB-RE corpus (diet-microbiome),Transformer-based,Custom IDs,Research paper,Diet-microbiome interactions F1=0.80
MicrobiomeNER,Research Lab,2025,NER+NEN,Microbiome metabolites,SCFAs (butyrate acetate propionate),Microbiome literature corpus,MiMeDB linking,MiMeDB metabolite ID,Research system,Short-chain fatty acids recognition
MicrobiomeNER,Research Lab,2025,NER+NEN,Microbiome metabolites,Bile acids,Microbiome literature corpus,MiMeDB linking,MiMeDB metabolite ID,Research system,Secondary bile acids (DCA LCA etc)
MicrobiomeNER,Research Lab,2025,NER,Microbiome functions,Gut dysbiosis,Microbiome literature corpus,Custom microbiome ontology,Custom functional ID,Research system,Functional microbiome concepts
MicrobiomeNER,Research Lab,2025,NER,Microbiome functions,Alpha diversity,Microbiome literature corpus,Custom microbiome ontology,Custom functional ID,Research system,Microbiome diversity measures
MicrobiomeNER,Research Lab,2025,NER,Microbiome functions,Beta diversity,Microbiome literature corpus,Custom microbiome ontology,Custom functional ID,Research system,Between-sample diversity
MicrobiomeNER,Research Lab,2025,NER+NEN,Microbiome habitats,Gut microbiota,Microbiome literature corpus,GMrepo + MiMeDB,GMrepo + MiMeDB ID,Research system,Beneficial gut bacteria vs pathogens
MicrobiomeNER,Research Lab,2025,NER+NEN,Microbiome habitats,Oral microbiome,Microbiome literature corpus,HOMD database,HOMD ID,Research system,Human oral microbiome
MicrobiomeNER,Research Lab,2025,NER+NEN,Microbiome habitats,Skin microbiome,Microbiome literature corpus,Specialized DB,Custom ID,Research system,Human skin microbiota
